Age,Annual_Income,Spending_Score
23,5.372560019474804,0.1872911388748124
20,2.6817456053875084,1.168015893426543
24,-6.177147521813689,-8.436858392827432
23,5.331605834553149,4.041127806530792
23,-5.644165517164948,5.844594443409129
20,-2.4964139814465978,8.427818294760455
26,-8.66788646430119,-5.181115220939257
23,-5.987088476238652,-8.612383581427583
25,7.496935872515653,3.8530022656576675
21,-3.276443968485981,-10.469764971224546
22,4.790454361080667,8.131274965153947
22,-4.010794347849762,8.28505175371513
20,-2.912411902217773,10.024413270234668
28,-10.031837076988882,-4.585454725639007
21,-3.667741855083906,7.8499617442726795
26,-8.86092903723302,-7.166950696943194
26,-8.59413751026393,5.3909984558600375
25,-7.278028214005623,8.894386688659402
24,-6.774786884165936,9.3572970055003
19,1.1855374888010402,7.718610582514203
23,5.9447327502703455,2.715631367023697
23,5.072831150856056,2.9364631332628237
20,2.522894541057089,-1.8139483777739294
20,-2.598762720827629,12.925895267733337
19,-1.6051075604336649,7.401486741685511
26,-8.705543770444113,-6.33896311932101
29,-11.084364435006904,8.553320844264967
28,-10.736159410520255,7.699507381689222
19,-1.904291944137665,4.231085516553827
26,-8.061058842641,11.011913457872584
27,9.355343589254428,2.4096142160203295
19,1.4388344157157285,10.932872951080594
26,-8.059456855624854,-4.157733100857532
20,2.2031746606597977,3.940881193296862
